symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
CVCUSDT,STOP_LOSS,0,2500.0,2.01,-66.2031,-2.648
DEXEUSDT,TRAILING,0,1348.76,4.52,30.7244,2.278
DEXEUSDT,STOP_LOSS,0,2482.26,2.15,-65.7334,-2.648
XVGUSDT,STOP_LOSS,0,2449.39,0.05,-64.863,-2.648
DGBUSDT,STOP_LOSS,0,2416.96,2.11,-64.0042,-2.648
RUNEUSDT,TRAILING,0,2384.96,3.18,26.0991,1.094
MBLUSDT,TRAILING,0,2398.01,3.0,19.0282,0.793
BIOUSDT,EARLY_EXIT,0,2407.52,1.76,-27.4737,-1.141
RAYUSDT,STOP_LOSS,0,2393.79,0.63,-63.3905,-2.648
VANAUSDT,STOP_LOSS,0,2362.09,0.18,-62.6397,-2.652
SPELLUSDT,TRAILING,0,2330.77,4.63,55.5707,2.384
THEUSDT,TRAILING,0,1635.43,8.74,110.7575,6.772
PNUTUSDT,TRAILING,0,2358.56,8.87,162.8934,6.906
BOMEUSDT,TRAILING,0,1657.35,3.25,19.2962,1.164
BEAMXUSDT,STOP_LOSS,0,1657.35,2.84,-43.9509,-2.652
CETUSUSDT,STOP_LOSS,0,1657.35,2.73,-43.9509,-2.652
ACHUSDT,TRAILING,0,2461.08,6.99,115.5865,4.697
BELUSDT,STOP_LOSS,0,2518.87,2.88,-66.7029,-2.648
PNUTUSDT,STOP_LOSS,0,1738.84,0.52,-46.1119,-2.652
BOMEUSDT,STOP_LOSS,0,1738.84,0.77,-46.1119,-2.652
XVGUSDT,STOP_LOSS,0,1474.72,0.59,-39.1077,-2.652
ACHUSDT,TRAILING,0,2419.86,3.45,29.8735,1.235
TKOUSDT,TRAILING,0,2425.66,6.69,113.4204,4.676
DYMUSDT,TRAILING,0,2425.66,10.7,212.8518,8.775
QTUMUSDT,TRAILING,0,1035.27,4.12,21.2402,2.052
TONUSDT,TRAILING,0,1035.27,3.74,17.2795,1.669
XTZUSDT,TRAILING,0,1035.27,3.18,11.3384,1.095
KAIAUSDT,TRAILING,0,1035.27,3.09,10.3677,1.001
MEMEUSDT,STOP_LOSS,0,1035.27,2.64,-27.4542,-2.652
RPLUSDT,TRAILING,0,1535.41,7.64,81.9444,5.337
XNOUSDT,STOP_LOSS,0,2614.31,2.2,-69.2303,-2.648
XVSUSDT,TRAILING,0,2148.88,3.37,24.6499,1.147
CAKEUSDT,STOP_LOSS,0,2633.0,0.32,-69.725,-2.648
MEUSDT,STOP_LOSS,0,806.3,2.4,-21.3821,-2.652
ACHUSDT,TRAILING,0,2587.44,5.18,75.6623,2.924
ARKUSDT,EARLY_EXIT,0,2307.01,1.79,15.0918,0.654
