symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
STEEMUSDT,ATR_TRAIL,0,1218.74,24.83,127.2638,10.442
STEEMUSDT,ATR_TRAIL,0,2563.63,9.14,-201.4435,-7.858
ARKUSDT,ATR_TRAIL,0,2462.91,5.94,-204.2425,-8.293
PROMUSDT,ATR_TRAIL,0,2360.79,13.7,-89.0215,-3.771
BELUSDT,ATR_TRAIL,0,2316.28,9.41,-18.7202,-0.808
SKLUSDT,ATR_TRAIL,0,2306.92,18.87,52.6703,2.283
JASMYUSDT,ATR_TRAIL,0,2333.25,3.42,-177.5131,-7.608
QTUMUSDT,ATR_TRAIL,0,2244.5,7.94,-215.6786,-9.609
BELUSDT,ATR_TRAIL,0,2225.99,3.81,-153.2932,-6.887
ARKUSDT,ATR_TRAIL,0,2060.01,18.5,23.0212,1.118
GLMUSDT,ATR_TRAIL,0,823.99,14.64,7.5954,0.922
AUCTIONUSDT,ATR_TRAIL,0,2075.32,43.68,666.7221,32.126
REDUSDT,ATR_TRAIL,0,2388.82,9.21,-154.8292,-6.481
AUCTIONUSDT,ATR_TRAIL,0,2408.68,37.83,594.1969,24.669
API3USDT,ATR_STOP,0,2532.94,2.01,-261.3837,-10.319
ARKUSDT,ATR_TRAIL,0,2497.67,41.62,701.4316,28.083
MBLUSDT,ATR_STOP,0,2824.9,0.31,-236.6435,-8.377
MAGICUSDT,ATR_STOP,0,2589.14,0.46,-368.7092,-14.241
CVXUSDT,ATR_TRAIL,0,2221.81,15.79,114.5279,5.155
SYNUSDT,ATR_TRAIL,0,1381.1,18.26,39.7179,2.876
JSTUSDT,ATR_STOP,0,2375.48,0.17,-194.8899,-8.204
VIRTUALUSDT,ATR_TRAIL,0,1090.66,16.63,36.3908,3.337
CVCUSDT,ATR_TRAIL,0,2848.39,17.12,156.3155,5.488
BARUSDT,ATR_TRAIL,0,1090.66,16.61,65.3231,5.989
BONKUSDT,ATR_TRAIL,0,877.5,11.35,8.9153,1.016
IOUSDT,ATR_TRAIL,0,877.5,3.69,-64.4206,-7.341
HIGHUSDT,ATR_TRAIL,0,2654.4,13.46,42.0527,1.584
BOMEUSDT,ATR_TRAIL,0,431.3,16.14,9.5481,2.214
PEOPLEUSDT,ATR_TRAIL,0,2647.02,54.56,1093.7889,41.322
METISUSDT,ATR_TRAIL,0,885.07,9.23,-16.3532,-1.848
FLOKIUSDT,ATR_TRAIL,0,431.3,4.88,-24.8754,-5.767
BABYUSDT,ATR_STOP,0,3095.9,0.77,-260.7333,-8.422
ALPINEUSDT,ATR_TRAIL,0,877.5,14.97,-13.8843,-1.582
LISTAUSDT,ATR_TRAIL,0,3016.34,3.67,-307.7523,-10.203
WLDUSDT,ATR_TRAIL,0,2709.74,3.17,-238.985,-8.819
STXUSDT,ATR_TRAIL,0,3041.42,15.56,57.251,1.882
COOKIEUSDT,ATR_STOP,0,2796.68,0.03,-287.9378,-10.296
WCTUSDT,ATR_TRAIL,0,2652.71,31.0,519.474,19.583
ICXUSDT,ATR_TRAIL,0,2912.45,11.84,37.4363,1.285
RPLUSDT,ATR_STOP,0,2931.17,1.84,-236.7835,-8.078
MAGICUSDT,ATR_TRAIL,0,2812.77,3.74,-304.9148,-10.84
PENGUUSDT,ATR_TRAIL,0,2638.38,5.93,-157.2812,-5.961
BANANAS31USDT,ATR_TRAIL,0,2660.32,149.51,2945.696,110.727
BONKUSDT,ATR_STOP,0,2481.69,1.12,-201.5772,-8.123
PENGUUSDT,ATR_TRAIL,0,3921.13,16.7,129.1872,3.295
BONKUSDT,ATR_TRAIL,0,3953.74,45.75,1354.3306,34.254
SUSHIUSDT,ATR_TRAIL,0,4694.64,15.25,127.0641,2.707
ACXUSDT,ATR_TRAIL,0,4758.17,9.47,-98.834,-2.077
TURBOUSDT,ATR_TRAIL,0,2293.25,4.44,-171.4071,-7.474
CFXUSDT,ATR_STOP,0,2425.68,3.78,-298.0642,-12.288
PENGUUSDT,ATR_TRAIL,0,4661.45,24.93,642.4433,13.782
ARDRUSDT,ATR_STOP,0,4796.1,1.92,-607.0347,-12.657
SOPHUSDT,ATR_TRAIL,0,4492.58,9.59,-204.7349,-4.557
HYPERUSDT,ATR_TRAIL,0,4390.21,36.53,827.3978,18.846
JUVUSDT,ATR_TRAIL,0,4803.91,3.85,-394.0801,-8.203
1000CATUSDT,ATR_STOP,0,3473.58,1.96,-418.4581,-12.047
