symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
FTTUSDT,STOP_LOSS,0,2500.0,2.29,-66.2031,-2.648
XVGUSDT,STOP_LOSS,0,1223.28,0.83,-32.3939,-2.648
RSRUSDT,TRAILING,0,1223.28,7.26,60.7166,4.963
CVCUSDT,STOP_LOSS,0,711.61,0.05,-18.8442,-2.648
ENSUSDT,TRAILING,0,2466.9,9.16,168.3561,6.825
HBARUSDT,TRAILING,0,595.05,4.83,15.3537,2.58
USUALUSDT,TRAILING,0,595.05,4.26,12.025,2.021
ONEUSDT,TRAILING,0,572.18,3.06,4.8758,0.852
AGLDUSDT,STOP_LOSS,0,842.12,1.13,-22.3004,-2.648
PEPEUSDT,TRAILING,0,1187.22,5.3,36.0834,3.039
BTCUSDT,EARLY_EXIT,0,1187.22,1.89,18.1449,1.528
LPTUSDT,TRAILING,0,720.83,5.02,19.926,2.764
AAVEUSDT,TRAILING,0,1187.22,4.61,28.0841,2.366
ONEUSDT,TRAILING,0,2040.76,3.94,34.866,1.708
WBTCUSDT,EARLY_EXIT,0,2629.35,1.36,10.3746,0.395
LPTUSDT,TRAILING,0,2607.66,3.25,26.8515,1.03
VANRYUSDT,STOP_LOSS,0,945.96,1.37,-25.0501,-2.648
API3USDT,EARLY_EXIT,0,747.79,0.47,-3.7652,-0.504
LUNAUSDT,EARLY_EXIT,0,945.96,1.9,-5.1832,-0.548
ONEUSDT,STOP_LOSS,0,1317.19,0.0,-34.8809,-2.648
SANDUSDT,TRAILING,0,1317.19,4.5,29.795,2.262
DASHUSDT,TRAILING,0,731.39,6.04,27.547,3.766
AXSUSDT,TRAILING,0,834.14,3.15,7.7854,0.933
DIAUSDT,TRAILING,0,2204.68,6.15,85.3129,3.87
ZILUSDT,EARLY_EXIT,0,757.12,0.64,-6.9803,-0.922
POLYXUSDT,TRAILING,0,631.12,4.61,14.9549,2.37
CELOUSDT,TRAILING,0,834.14,4.98,22.7846,2.732
YFIUSDT,EARLY_EXIT,0,1566.64,0.03,-31.4109,-2.005
ETCUSDT,EARLY_EXIT,0,1566.64,0.07,-27.6526,-1.765
ARBUSDT,TRAILING,0,748.39,6.19,29.2953,3.914
HIGHUSDT,TRAILING,0,1145.04,3.44,13.9412,1.218
TIAUSDT,TRAILING,0,1145.04,4.12,21.6337,1.889
GASUSDT,EARLY_EXIT,0,1145.04,1.24,-4.4161,-0.386
PYTHUSDT,EARLY_EXIT,0,1145.04,1.38,1.2072,0.105
BTCUSDT,EARLY_EXIT,0,1033.98,1.15,5.6708,0.548
EGLDUSDT,EARLY_EXIT,0,1033.98,1.59,5.5595,0.538
NEARUSDT,EARLY_EXIT,0,1033.98,2.33,8.8528,0.856
SPELLUSDT,EARLY_EXIT,0,1143.14,1.35,-4.5172,-0.395
MOVEUSDT,EARLY_EXIT,0,1143.14,1.7,13.6703,1.196
HOTUSDT,EARLY_EXIT,0,1561.28,1.58,1.2764,0.082
