symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
NEIROUSDT,ATR_STOP,0,2500.0,2.06,-334.6587,-13.386
TNSRUSDT,ATR_TRAIL,0,2479.38,7.45,-217.1538,-8.758
ENAUSDT,ATR_TRAIL,0,1083.31,19.26,24.6751,2.278
ORDIUSDT,ATR_TRAIL,0,1083.31,9.28,-87.0668,-8.037
WOOUSDT,ATR_TRAIL,0,2236.03,14.13,-53.8854,-2.41
PEPEUSDT,ATR_TRAIL,0,567.14,20.72,-2.4069,-0.424
BOMEUSDT,ATR_TRAIL,0,526.19,13.59,-45.3547,-8.62
ARKUSDT,ATR_TRAIL,0,2165.53,14.19,-150.247,-6.938
FLOKIUSDT,ATR_TRAIL,0,526.19,24.83,14.806,2.814
HBARUSDT,ATR_TRAIL,0,2066.34,63.64,908.1021,43.947
KAVAUSDT,ATR_TRAIL,0,1485.93,14.79,-11.1188,-0.748
FTTUSDT,ATR_TRAIL,0,971.12,26.71,90.0674,9.275
GALAUSDT,ATR_TRAIL,0,1485.93,10.01,-91.4567,-6.155
SUIUSDT,ATR_TRAIL,0,526.19,15.25,-14.6074,-2.776
RENDERUSDT,ATR_TRAIL,0,567.14,16.13,-10.3387,-1.823
XRPUSDT,ATR_STOP,0,2508.8,1.92,-276.3467,-11.015
MANTAUSDT,ATR_TRAIL,0,2235.25,8.26,-234.2666,-10.481
DGBUSDT,ATR_TRAIL,0,2336.35,55.81,731.1739,31.296
TIAUSDT,ATR_TRAIL,0,2001.86,12.94,-150.1791,-7.502
ZROUSDT,ATR_TRAIL,0,2297.67,19.54,25.2995,1.101
ENSUSDT,ATR_TRAIL,0,2619.15,16.86,-200.1624,-7.642
TURBOUSDT,ATR_TRAIL,0,2322.88,13.68,-83.7881,-3.607
1MBABYDOGEUSDT,ATR_STOP,0,2415.49,1.92,-438.3943,-18.149
PIXELUSDT,ATR_TRAIL,0,1056.09,17.3,-47.1143,-4.461
ALTUSDT,ATR_TRAIL,0,1056.09,21.74,-7.6872,-0.728
FLOWUSDT,ATR_TRAIL,0,1056.09,14.62,-58.838,-5.571
XAIUSDT,ATR_TRAIL,0,1056.09,15.63,-77.7385,-7.361
COMPUSDT,ATR_STOP,0,2100.6,0.09,-247.4163,-11.778
WBTCUSDT,TIME_LIMIT,0,151.76,10.83,-5.1296,-3.38
AGLDUSDT,ATR_STOP,0,1955.59,1.55,-378.8779,-19.374
SUSHIUSDT,ATR_TRAIL,0,1976.89,12.52,-215.2562,-10.889
SCRTUSDT,ATR_TRAIL,0,1578.13,14.91,-124.7251,-7.903
