date,ts_ms,equity
2025-01-01,1735689600000,5000.0
2025-01-02,1735776000000,5156.875284485879
2025-01-03,1735862400000,5436.611569072575
2025-01-04,1735948800000,5698.7347991302095
2025-01-05,1736035200000,5695.70489740646
2025-01-06,1736121600000,5708.391795699499
2025-01-07,1736208000000,5723.162225763736
2025-01-08,1736294400000,5517.831605339382
2025-01-09,1736380800000,5269.797371344491
2025-01-10,1736467200000,5170.586282393642
2025-01-11,1736553600000,5118.044656948097
2025-01-12,1736640000000,5223.948111418389
2025-01-13,1736726400000,5101.950540599013
2025-01-14,1736812800000,5011.4147979129975
2025-01-15,1736899200000,5146.981973341999
2025-01-16,1736985600000,5168.891128667527
2025-01-17,1737072000000,5075.575651259396
2025-01-18,1737158400000,5310.907704695643
2025-01-19,1737244800000,5285.182087660488
2025-01-20,1737331200000,5098.578276305173
2025-01-21,1737417600000,4972.480685108957
2025-01-22,1737504000000,5105.384836536971
2025-01-23,1737590400000,5226.598776369221
2025-01-24,1737676800000,5249.321301850914
2025-01-25,1737763200000,5072.061894063347
2025-01-26,1737849600000,5090.9066466709355
2025-01-27,1737936000000,4956.578134667896
2025-01-28,1738022400000,4853.729447461472
2025-01-29,1738108800000,4753.087367368358
2025-01-30,1738195200000,4861.315634599425
2025-01-31,1738281600000,4861.315634599425
2025-02-01,1738368000000,4861.315634599425
2025-02-02,1738454400000,4911.641962478867
2025-02-03,1738540800000,4929.656797592806
2025-02-04,1738627200000,4850.716188903307
2025-02-05,1738713600000,4873.3623752869735
2025-02-06,1738800000000,4873.3623752869735
2025-02-07,1738886400000,4873.3623752869735
2025-02-08,1738972800000,4872.79599333824
2025-02-09,1739059200000,4854.018661131797
2025-02-10,1739145600000,4835.723015183303
2025-02-11,1739232000000,4835.723015183303
2025-02-12,1739318400000,4835.723015183303
2025-02-13,1739404800000,4835.723015183303
2025-02-14,1739491200000,4833.909619052609
2025-02-15,1739577600000,4833.909619052609
2025-02-16,1739664000000,4790.969463407716
2025-02-17,1739750400000,4790.969463407716
2025-02-18,1739836800000,4787.391053318961
2025-02-19,1739923200000,4588.426633398728
2025-02-20,1740009600000,4671.537454083236
2025-02-21,1740096000000,4717.339091953048
2025-02-22,1740182400000,4672.285005918148
2025-02-23,1740268800000,4727.866395585594
2025-02-24,1740355200000,4707.538261751852
2025-02-25,1740441600000,4516.529989751237
2025-02-26,1740528000000,4516.86727119877
2025-02-27,1740614400000,4553.4567409096135
2025-02-28,1740700800000,4579.0146608302475
2025-03-01,1740787200000,4577.2975303324365
2025-03-02,1740873600000,4484.068791837932
2025-03-03,1740960000000,4482.3872660409925
2025-03-04,1741046400000,4562.554322387636
2025-03-05,1741132800000,4467.949758512928
2025-03-06,1741219200000,4466.2742773534865
2025-03-07,1741305600000,4283.427925709636
2025-03-08,1741392000000,4336.05947329992
2025-03-09,1741478400000,4336.05947329992
2025-03-10,1741564800000,4332.820838805752
2025-03-11,1741651200000,3985.2408893386146
2025-03-12,1741737600000,4008.0696166299704
2025-03-13,1741824000000,4008.0696166299704
2025-03-14,1741910400000,4008.0696166299704
2025-03-15,1741996800000,4008.0696166299704
2025-03-16,1742083200000,4008.0696166299704
2025-03-17,1742169600000,4168.39292135362
2025-03-18,1742256000000,4333.965726249442
2025-03-19,1742342400000,4333.965726249442
2025-03-20,1742428800000,4361.2933953635
2025-03-21,1742515200000,4462.593925959569
2025-03-22,1742601600000,4431.299225792929
2025-03-23,1742688000000,4339.416236346113
2025-03-24,1742774400000,4339.416236346113
2025-03-25,1742860800000,4339.416236346113
2025-03-26,1742947200000,4337.788955257483
2025-03-27,1743033600000,4305.53678292809
2025-03-28,1743120000000,4305.53678292809
2025-03-29,1743206400000,4305.53678292809
2025-03-30,1743292800000,4305.53678292809
2025-03-31,1743379200000,4305.53678292809
2025-04-01,1743465600000,4346.638173752573
2025-04-02,1743552000000,4430.013780976969
2025-04-03,1743638400000,4372.727718207292
2025-04-04,1743724800000,4369.461695933153
2025-04-05,1743811200000,4321.199980407647
2025-04-06,1743897600000,4340.2458733975745
2025-04-07,1743984000000,4340.2458733975745
2025-04-08,1744070400000,4338.61828119505
2025-04-09,1744156800000,4374.895171879394
2025-04-10,1744243200000,4463.947701262838
2025-04-11,1744329600000,4462.273720874864
2025-04-12,1744416000000,4455.225523932087
2025-04-13,1744502400000,4560.142647908465
2025-04-14,1744588800000,4527.674494966517
2025-04-15,1744675200000,4342.85843074273
2025-04-16,1744761600000,4212.058834989781
2025-04-17,1744848000000,4242.387729520222
2025-04-18,1744934400000,4240.236059329118
2025-04-19,1745020800000,4074.78824830082
2025-04-20,1745107200000,4074.78824830082
2025-04-21,1745193600000,4074.78824830082
2025-04-22,1745280000000,3948.055898008218
2025-04-23,1745366400000,4036.103728780204
2025-04-24,1745452800000,4043.1860089165766
2025-04-25,1745539200000,4051.476766696943
2025-04-26,1745625600000,4108.298552407089
2025-04-27,1745712000000,4159.5332649933025
2025-04-28,1745798400000,4385.574048620442
2025-04-29,1745884800000,4145.249449808502
2025-04-30,1745971200000,4083.528358476491
2025-05-01,1746057600000,3967.6613148362103
2025-05-02,1746144000000,4065.3178020663363
2025-05-03,1746230400000,4065.5994340129864
2025-05-04,1746316800000,4076.427806612058
2025-05-05,1746403200000,3934.11293463487
2025-05-06,1746489600000,3931.1745169465253
2025-05-07,1746576000000,3754.3350002854168
2025-05-08,1746662400000,3774.265380491861
2025-05-09,1746748800000,3856.7218875142707
2025-05-10,1746835200000,3990.942600802559
2025-05-11,1746921600000,4106.771060008397
2025-05-12,1747008000000,4214.484417676688
2025-05-13,1747094400000,4142.433011822082
2025-05-14,1747180800000,4154.668557208145
2025-05-15,1747267200000,3994.425496797099
2025-05-16,1747353600000,3808.176892468294
2025-05-17,1747440000000,3704.078235441386
2025-05-18,1747526400000,3539.2322389797073
2025-05-19,1747612800000,3720.1428388645327
2025-05-20,1747699200000,3618.8625239174307
2025-05-21,1747785600000,3619.568395929731
2025-05-22,1747872000000,3712.6351140116976
2025-05-23,1747958400000,3814.760603818585
2025-05-24,1748044800000,3567.3063934238307
2025-05-25,1748131200000,3631.1795201807486
2025-05-26,1748217600000,3476.1556327711533
2025-05-27,1748304000000,3384.052920320386
2025-05-28,1748390400000,3435.1626030331
2025-05-29,1748476800000,3163.6231438201958
2025-05-30,1748563200000,3070.4396036263684
2025-05-31,1748649600000,3003.791420417303
2025-06-01,1748736000000,3050.1307344609795
2025-06-02,1748822400000,2986.741054969887
2025-06-03,1748908800000,2922.123916389869
2025-06-04,1748995200000,3003.4003480379215
2025-06-05,1749081600000,2964.087251625152
2025-06-06,1749168000000,2898.19089253547
2025-06-07,1749254400000,2894.1692874207934
2025-06-08,1749340800000,2900.4836771496202
2025-06-09,1749427200000,2879.8780586263115
2025-06-10,1749513600000,2878.806609146144
2025-06-11,1749600000000,3043.038194049036
2025-06-12,1749686400000,3039.9889622266182
2025-06-13,1749772800000,2930.4675563604433
2025-06-14,1749859200000,2810.4431953623944
2025-06-15,1749945600000,2788.637774857626
2025-06-16,1750032000000,2788.637774857626
2025-06-17,1750118400000,2741.9041162411704
2025-06-18,1750204800000,2591.5000883687085
2025-06-19,1750291200000,2553.3311311704306
2025-06-20,1750377600000,2571.366530867933
2025-06-21,1750464000000,2518.049245850386
2025-06-22,1750550400000,2534.1211110207787
2025-06-23,1750636800000,2609.9331363626998
2025-06-24,1750723200000,2562.2321897585307
2025-06-25,1750809600000,2570.656100349493
2025-06-26,1750896000000,2613.387614878321
2025-06-27,1750982400000,2602.9613170886832
2025-06-28,1751068800000,2593.3090728873185
2025-06-29,1751155200000,2597.258300101225
2025-06-30,1751241600000,2606.550081854745
2025-07-01,1751328000000,2552.750776242961
2025-07-02,1751414400000,2510.2721608278457
2025-07-03,1751500800000,2498.3568846407716
2025-07-04,1751587200000,2536.1500900644296
2025-07-05,1751673600000,2464.8122094319524
2025-07-06,1751760000000,2437.8100621785916
2025-07-07,1751846400000,2436.9030826917187
2025-07-08,1751932800000,2435.7502022896024
2025-07-09,1752019200000,2414.50123608561
2025-07-10,1752105600000,2470.7787557214906
2025-07-11,1752192000000,2545.686562811321
2025-07-12,1752278400000,2632.801616613182
2025-07-13,1752364800000,2503.955074194975
2025-07-14,1752451200000,2546.977257682419
2025-07-15,1752537600000,2474.3417462158595
2025-07-16,1752624000000,2441.9757978852545
2025-07-17,1752710400000,2541.974286942517
2025-07-18,1752796800000,2508.984167173855
2025-07-19,1752883200000,2523.0102893246094
2025-07-20,1752969600000,2521.73969688408
2025-07-21,1753056000000,2601.060720371872
2025-07-22,1753142400000,2554.645972465749
2025-07-23,1753228800000,2520.3950817793448
2025-07-24,1753315200000,2453.353839409645
2025-07-25,1753401600000,2214.078095068592
2025-07-26,1753488000000,2208.1215512092704
2025-07-27,1753574400000,2334.374839844192
2025-07-28,1753660800000,2335.5114910137368
2025-07-29,1753747200000,2208.6198574262885
2025-07-30,1753833600000,2244.440233289212
2025-07-31,1753920000000,2149.0719951822034
2025-08-01,1754006400000,2123.1533972947923
2025-08-02,1754092800000,1973.9537629138672
2025-08-03,1754179200000,1966.770724953244
2025-08-04,1754265600000,1996.4383054652299
2025-08-05,1754352000000,2032.744189162097
2025-08-06,1754438400000,1969.239074057263
2025-08-07,1754524800000,1981.0463590672873
2025-08-08,1754611200000,2050.026669865095
2025-08-09,1754697600000,2087.0208816295876
2025-08-10,1754784000000,2196.213223742264
2025-08-11,1754870400000,2187.7110300088516
2025-08-12,1754956800000,2115.0988520912906
2025-08-13,1755043200000,2079.432985528348
2025-08-14,1755129600000,2048.0715914584316
2025-08-15,1755216000000,1968.7522765835158
2025-08-16,1755302400000,1963.4186135983418
2025-08-17,1755388800000,1992.2369160115709
2025-08-18,1755475200000,1993.7434275563153
2025-08-19,1755561600000,1950.0531539925757
2025-08-20,1755648000000,1911.7648433197328
2025-08-21,1755734400000,1926.6879060202739
2025-08-22,1755820800000,1898.2527073096282
2025-08-23,1755907200000,1928.3446724020314
2025-08-24,1755993600000,1876.8595786819865
2025-08-25,1756080000000,1856.7099809323522
2025-08-26,1756166400000,1749.5087323798523
2025-08-27,1756252800000,1867.7307101498934
