symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
STEEMUSDT,TRAILING,0,1218.74,2.15,5.6925,0.467
ARKUSDT,TRAILING,0,2502.85,2.41,17.9842,0.719
PROMUSDT,STOP_LOSS,0,2511.84,1.95,-104.1659,-4.147
BELUSDT,STOP_LOSS,0,2459.76,1.88,-102.0061,-4.147
SKLUSDT,TRAILING,0,2408.75,3.21,36.3858,1.511
JASMYUSDT,TRAILING,0,2426.95,3.42,41.7892,1.722
QTUMUSDT,TRAILING,0,2447.84,5.59,94.4072,3.857
BELUSDT,TRAILING,0,2495.04,3.81,52.4691,2.103
BELUSDT,TRAILING,0,2521.28,3.17,37.1456,1.473
ARKUSDT,TRAILING,0,2539.85,3.17,37.4394,1.474
GLMUSDT,STOP_LOSS,0,823.99,0.66,-34.171,-4.147
AUCTIONUSDT,TRAILING,0,2541.49,3.36,42.2419,1.662
AUCTIONUSDT,TRAILING,0,2562.61,4.14,62.1029,2.423
REDUSDT,TRAILING,0,2593.66,2.98,33.3695,1.287
API3USDT,TRAILING,0,2532.94,2.01,8.2446,0.325
API3USDT,TRAILING,0,2614.46,4.33,68.2275,2.61
ARKUSDT,TRAILING,0,2648.58,3.42,45.5296,1.719
CVCUSDT,STOP_LOSS,0,2671.34,0.95,-110.7806,-4.147
MBLUSDT,STOP_LOSS,0,2615.95,0.31,-108.4836,-4.147
GASUSDT,TRAILING,0,1172.57,2.42,8.5724,0.731
MAGICUSDT,STOP_LOSS,0,2566.0,0.46,-106.4119,-4.147
CVXUSDT,TRAILING,0,2512.79,3.01,33.0159,1.314
SYNUSDT,TRAILING,0,1381.1,2.18,6.8708,0.497
JSTUSDT,STOP_LOSS,0,2532.73,0.17,-105.0325,-4.147
VIRTUALUSDT,TRAILING,0,2470.92,2.1,10.4052,0.421
CETUSUSDT,STOP_LOSS,0,2470.92,1.16,-102.4689,-4.147
VIRTUALUSDT,TRAILING,0,2425.06,2.25,13.6727,0.564
BARUSDT,TRAILING,0,2425.06,3.85,51.9451,2.142
HIGHUSDT,TRAILING,0,2467.0,2.06,9.3533,0.379
BONKUSDT,TRAILING,0,1641.6,3.54,30.0903,1.833
ALPINEUSDT,TRAILING,0,1641.6,2.59,14.7993,0.902
IOUSDT,TRAILING,0,1641.6,2.21,8.7054,0.53
1000CATUSDT,TRAILING,0,2123.74,3.24,32.8044,1.545
