symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
FTTUSDT,EARLY_EXIT,0,2500.0,2.29,11.0999,0.444
XVGUSDT,TRAILING,0,1255.54,3.72,18.7225,1.491
RSRUSDT,TRAILING,0,1255.54,7.26,62.3178,4.963
ENSUSDT,TRAILING,0,2479.38,9.16,169.2081,6.825
HBARUSDT,TRAILING,0,636.63,4.83,16.4266,2.58
USUALUSDT,TRAILING,0,636.63,4.26,12.8652,2.021
CVCUSDT,STOP_LOSS,0,738.76,0.05,-30.6363,-4.147
ONEUSDT,TRAILING,0,578.85,3.06,4.9326,0.852
PEPEUSDT,TRAILING,0,1223.74,5.3,37.1934,3.039
AGLDUSDT,STOP_LOSS,0,848.07,1.13,-35.1694,-4.147
BTCUSDT,EARLY_EXIT,0,1223.74,1.89,18.7031,1.528
LPTUSDT,TRAILING,0,725.92,5.02,20.0667,2.764
AAVEUSDT,TRAILING,0,1223.74,4.61,28.948,2.366
ONEUSDT,TRAILING,0,2071.45,3.94,35.3904,1.708
WBTCUSDT,EARLY_EXIT,0,2685.03,1.36,10.5944,0.395
LPTUSDT,TRAILING,0,2662.89,3.25,27.4202,1.03
VANRYUSDT,EARLY_EXIT,0,971.7,1.37,-16.3114,-1.679
API3USDT,EARLY_EXIT,0,752.21,0.47,-3.7874,-0.504
LUNAUSDT,EARLY_EXIT,0,971.7,1.9,-5.3242,-0.548
SANDUSDT,TRAILING,0,1345.09,4.5,30.4261,2.262
ONEUSDT,EARLY_EXIT,0,1345.09,0.0,-9.503,-0.706
DASHUSDT,TRAILING,0,1000.44,6.04,37.6802,3.766
AXSUSDT,TRAILING,0,1173.2,3.15,10.9501,0.933
ZILUSDT,EARLY_EXIT,0,1034.7,0.64,-9.5395,-0.922
POLYXUSDT,TRAILING,0,863.28,4.61,20.4561,2.37
NEARUSDT,TRAILING,0,1173.2,3.34,13.2109,1.126
CELOUSDT,TRAILING,0,1173.2,4.98,32.0461,2.732
ETCUSDT,EARLY_EXIT,0,1184.21,0.07,-20.9024,-1.765
ARBUSDT,TRAILING,0,1025.09,6.19,40.1266,3.914
HIGHUSDT,TRAILING,0,1110.26,3.44,13.5178,1.218
TIAUSDT,TRAILING,0,1110.26,4.12,20.9766,1.889
GASUSDT,EARLY_EXIT,0,1110.26,1.24,-4.282,-0.386
PYTHUSDT,EARLY_EXIT,0,1110.26,1.38,1.1706,0.105
BTCUSDT,EARLY_EXIT,0,1106.35,1.15,6.0678,0.548
EGLDUSDT,EARLY_EXIT,0,1106.35,1.59,5.9486,0.538
NEARUSDT,EARLY_EXIT,0,1106.35,2.33,9.4725,0.856
SPELLUSDT,EARLY_EXIT,0,1108.3,1.35,-4.3795,-0.395
MOVEUSDT,EARLY_EXIT,0,1108.3,1.7,13.2537,1.196
YFIUSDT,EARLY_EXIT,0,1113.76,0.62,-2.8031,-0.252
HOTUSDT,EARLY_EXIT,0,1113.76,1.58,0.9106,0.082
RSRUSDT,EARLY_EXIT,0,1113.76,0.29,-15.7369,-1.413
QTUMUSDT,TRAILING,0,1933.08,3.05,16.2692,0.842
CELOUSDT,EARLY_EXIT,0,1019.27,0.65,-9.7552,-0.957
IOSTUSDT,EARLY_EXIT,0,877.55,0.11,-15.3942,-1.754
LPTUSDT,EARLY_EXIT,0,745.36,0.78,-15.9241,-2.136
REQUSDT,EARLY_EXIT,0,1765.94,0.08,-28.184,-1.596
AXSUSDT,EARLY_EXIT,0,1100.12,0.86,-1.4923,-0.136
COTIUSDT,EARLY_EXIT,0,583.75,0.77,-4.5713,-0.783
NEOUSDT,EARLY_EXIT,0,1100.12,1.14,1.1346,0.103
POLYXUSDT,TRAILING,0,974.14,3.0,7.7146,0.792
FIDAUSDT,EARLY_EXIT,0,1129.57,0.7,-11.6904,-1.035
HIGHUSDT,EARLY_EXIT,0,1129.57,1.14,-8.1035,-0.717
PYTHUSDT,EARLY_EXIT,0,1129.57,1.15,-3.426,-0.303
RUNEUSDT,TRAILING,0,1129.57,3.26,11.8402,1.048
EGLDUSDT,EARLY_EXIT,0,979.18,0.5,-9.977,-1.019
PENGUUSDT,TRAILING,0,1122.46,7.61,59.5408,5.305
ARDRUSDT,EARLY_EXIT,0,1122.46,1.28,7.0659,0.63
POLYXUSDT,EARLY_EXIT,0,1122.46,1.3,2.6919,0.24
ZECUSDT,TRAILING,0,1134.97,3.97,19.772,1.742
QTUMUSDT,TRAILING,0,1022.33,3.0,8.1146,0.794
BTCUSDT,EARLY_EXIT,0,1126.93,0.33,-6.5008,-0.577
WBTCUSDT,EARLY_EXIT,0,1126.93,0.33,-6.4551,-0.573
SCRTUSDT,STOP_LOSS,0,1134.97,2.78,-47.0673,-4.147
ARPAUSDT,EARLY_EXIT,0,2791.77,0.15,-51.6472,-1.85
JOEUSDT,EARLY_EXIT,0,1527.92,0.99,-24.4512,-1.6
AUCTIONUSDT,EARLY_EXIT,0,1194.78,0.62,-13.1945,-1.104
ETCUSDT,EARLY_EXIT,0,1875.7,1.54,-27.4181,-1.462
KSMUSDT,EARLY_EXIT,0,1875.7,1.41,-51.8033,-2.762
QTUMUSDT,EARLY_EXIT,0,1676.22,1.29,-34.5533,-2.061
STEEMUSDT,TRAILING,0,1218.74,3.57,16.4393,1.349
PHAUSDT,TRAILING,0,724.07,3.77,11.1614,1.541
CELOUSDT,STOP_LOSS,0,2680.93,0.06,-111.1782,-4.147
POWRUSDT,TRAILING,0,2511.71,3.89,41.7547,1.662
STEEMUSDT,TRAILING,0,2636.3,5.66,89.5991,3.399
CRVUSDT,TRAILING,0,2636.3,3.27,27.8599,1.057
BATUSDT,EARLY_EXIT,0,1796.54,0.8,-12.0149,-0.669
TFUELUSDT,EARLY_EXIT,0,1796.54,1.33,0.463,0.026
ICPUSDT,EARLY_EXIT,0,1796.54,0.2,-49.0276,-2.729
STGUSDT,STOP_LOSS,0,2674.66,1.91,-110.9181,-4.147
MOVEUSDT,EARLY_EXIT,0,2652.6,1.05,3.3627,0.127
SYNUSDT,TRAILING,0,346.63,3.09,3.043,0.878
ARBUSDT,EARLY_EXIT,0,739.18,2.09,7.1402,0.966
XRPUSDT,EARLY_EXIT,0,739.18,1.57,6.8555,0.927
ANKRUSDT,TRAILING,0,2629.12,4.03,47.2829,1.798
AVAXUSDT,TRAILING,0,739.18,4.78,18.7117,2.531
KAVAUSDT,STOP_LOSS,0,1868.26,0.14,-77.4768,-4.147
SANDUSDT,TRAILING,0,1742.55,3.1,15.4371,0.886
TFUELUSDT,TRAILING,0,1742.55,5.03,48.4203,2.779
ZILUSDT,TRAILING,0,1742.55,4.25,35.1578,2.018
HIVEUSDT,TRAILING,0,1692.68,4.06,30.9702,1.83
ARKUSDT,TRAILING,0,1816.8,4.02,32.5676,1.793
POLYXUSDT,EARLY_EXIT,0,1816.8,2.38,10.6423,0.586
AGLDUSDT,TRAILING,0,2156.04,3.13,19.7165,0.914
