symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
FTTUSDT,TRAILING,0,2500.0,7.37,126.8219,5.073
ENSUSDT,TRAILING,0,2479.38,9.16,169.2081,6.825
CVCUSDT,STOP_LOSS,0,945.38,0.05,-39.205,-4.147
RSRUSDT,TRAILING,0,945.38,3.34,10.5757,1.119
ONEUSDT,TRAILING,0,735.6,3.06,6.2683,0.852
PEPEUSDT,TRAILING,0,1226.38,5.3,37.2736,3.039
AGLDUSDT,STOP_LOSS,0,848.49,1.13,-35.1869,-4.147
LPTUSDT,TRAILING,0,726.28,5.02,20.0767,2.764
AAVEUSDT,TRAILING,0,1226.38,4.61,29.0104,2.366
ONEUSDT,TRAILING,0,2074.57,3.94,35.4437,1.708
LPTUSDT,TRAILING,0,1431.21,3.25,14.7374,1.03
BTCUSDT,TIME_24H,0,1226.38,2.98,23.3385,1.903
SANDUSDT,TRAILING,0,722.95,4.5,16.3531,2.262
WBTCUSDT,TIME_24H,0,2679.68,1.36,29.7587,1.111
ONEUSDT,TRAILING,0,722.95,13.71,81.5557,11.281
PYTHUSDT,TIME_24H,0,1101.06,1.54,-2.4962,-0.227
FIDAUSDT,TIME_24H,0,1101.06,0.36,-15.6903,-1.425
YFIUSDT,TIME_24H,0,1101.06,1.55,-10.8983,-0.99
AXSUSDT,TIME_24H,0,1101.06,1.37,-11.1417,-1.012
ZILUSDT,TIME_24H,0,1101.06,0.64,-8.2625,-0.75
QTUMUSDT,TRAILING,0,836.19,3.05,7.0376,0.842
CELOUSDT,TRAILING,0,1184.72,3.72,17.6777,1.492
HIGHUSDT,TIME_24H,0,1184.72,1.91,11.7696,0.993
HOTUSDT,TIME_24H,0,1184.72,1.62,9.1928,0.776
IOSTUSDT,TIME_24H,0,1066.66,3.71,34.5635,3.24
REQUSDT,TIME_24H,0,839.75,0.53,-1.2596,-0.15
POLYXUSDT,TRAILING,0,1202.59,3.21,12.0002,0.998
ETCUSDT,TRAILING,0,1164.36,4.32,24.2046,2.079
SCRTUSDT,STOP_LOSS,0,1164.36,0.87,-48.2859,-4.147
ARDRUSDT,TIME_24H,0,1164.36,2.43,-6.9166,-0.594
JOEUSDT,STOP_LOSS,0,1089.61,0.99,-45.1859,-4.147
POLYXUSDT,STOP_LOSS,0,1089.61,1.8,-45.1859,-4.147
BTCUSDT,STOP_LOSS,0,1089.61,0.3,-45.1859,-4.147
WBTCUSDT,STOP_LOSS,0,1089.61,0.39,-45.1859,-4.147
KSMUSDT,STOP_LOSS,0,1834.63,1.41,-76.0819,-4.147
QTUMUSDT,STOP_LOSS,0,1667.44,1.29,-69.1488,-4.147
PHAUSDT,TRAILING,0,724.07,3.77,11.1614,1.541
ETCUSDT,STOP_LOSS,0,1834.63,1.54,-76.0819,-4.147
CELOUSDT,STOP_LOSS,0,1716.09,0.06,-71.1662,-4.147
POWRUSDT,TRAILING,0,1651.04,3.89,27.4469,1.662
STEEMUSDT,TRAILING,0,2541.89,5.66,86.3904,3.399
CRVUSDT,TRAILING,0,2541.89,3.27,26.8622,1.057
ICPUSDT,STOP_LOSS,0,1732.2,0.2,-71.8344,-4.147
TFUELUSDT,TRAILING,0,1732.2,4.66,41.8541,2.416
BATUSDT,STOP_LOSS,0,1732.2,2.84,-71.8344,-4.147
MOVEUSDT,TRAILING,0,1137.28,3.63,16.0128,1.408
SYNUSDT,TRAILING,0,546.05,3.09,4.7937,0.878
ARBUSDT,TRAILING,0,1137.28,4.21,22.4692,1.976
AVAXUSDT,TRAILING,0,1137.28,4.78,28.7893,2.531
KAVAUSDT,STOP_LOSS,0,2577.96,0.14,-106.908,-4.147
XRPUSDT,TIME_24H,0,1137.28,4.3,34.2044,3.008
HIVEUSDT,TRAILING,0,577.13,4.06,10.5594,1.83
ARKUSDT,TRAILING,0,592.15,4.02,10.6147,1.793
AGLDUSDT,TRAILING,0,587.04,3.13,5.3683,0.914
ZILUSDT,STOP_LOSS,0,2167.75,0.72,-89.8966,-4.147
TFUELUSDT,STOP_LOSS,0,1754.58,0.42,-72.7623,-4.147
DEXEUSDT,TRAILING,0,602.88,3.18,5.8005,0.962
SANDUSDT,STOP_LOSS,0,1657.16,0.63,-68.7222,-4.147
FLOWUSDT,STOP_LOSS,0,1650.4,1.2,-68.4419,-4.147
WLDUSDT,STOP_LOSS,0,1657.16,0.64,-68.7222,-4.147
BTCUSDT,STOP_LOSS,0,2388.75,0.68,-99.0616,-4.147
NEOUSDT,TRAILING,0,935.07,3.83,14.9569,1.6
KNCUSDT,TRAILING,0,935.07,3.21,9.3014,0.995
ICXUSDT,TRAILING,0,920.64,4.02,16.4607,1.788
ANKRUSDT,TRAILING,0,935.07,3.32,10.3365,1.105
QTUMUSDT,TRAILING,0,935.07,3.56,12.4754,1.334
XRPUSDT,TRAILING,0,947.18,6.58,40.6464,4.291
TWTUSDT,TRAILING,0,2382.34,3.65,33.8717,1.422
WBTCUSDT,TIME_24H,0,2382.34,4.33,85.7759,3.6
STEEMUSDT,STOP_LOSS,0,2441.94,0.34,-101.2674,-4.147
BCHUSDT,TRAILING,0,2441.94,3.02,19.6346,0.804
QNTUSDT,TRAILING,0,1917.32,3.95,32.9623,1.719
YFIUSDT,TRAILING,0,1917.32,6.75,85.4712,4.458
HIVEUSDT,TRAILING,0,1274.32,3.52,16.6033,1.303
PUNDIXUSDT,TIME_24H,0,967.91,2.14,14.248,1.472
PEPEUSDT,STOP_LOSS,0,1232.23,0.16,-51.1007,-4.147
WLDUSDT,STOP_LOSS,0,1232.23,0.68,-51.1007,-4.147
WBTCUSDT,STOP_LOSS,0,2484.96,1.79,-103.0513,-4.147
DEXEUSDT,TRAILING,0,2382.33,4.33,49.8101,2.091
XRPUSDT,TRAILING,0,2362.69,4.59,55.4731,2.348
SPELLUSDT,TRAILING,0,600.51,4.72,14.8818,2.478
AMPUSDT,TRAILING,0,1199.39,3.01,9.5539,0.797
LDOUSDT,TRAILING,0,1625.34,5.75,56.6447,3.485
JTOUSDT,STOP_LOSS,0,1625.34,1.6,-67.4031,-4.147
