symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
PENGUUSDT,TRAILING,0,936.36,3.81,16.247,1.735
RAYUSDT,TRAILING,0,936.36,4.74,25.1925,2.69
SOMIUSDT,TRAILING,0,553.89,3.19,6.1153,1.104
STOUSDT,EARLY_EXIT,0,870.71,1.8,6.1479,0.706
PARTIUSDT,TRAILING,0,1681.72,3.11,15.1542,0.901
BANANAS31USDT,TRAILING,0,1204.88,14.29,142.6698,11.841
2ZUSDT,STOP_LOSS,0,851.19,1.55,-22.5726,-2.652
TURBOUSDT,STOP_LOSS,0,1749.34,2.49,-46.3248,-2.648
MBLUSDT,TRAILING,0,1726.18,6.01,64.5727,3.741
SAHARAUSDT,STOP_LOSS,0,1758.47,0.24,-46.6323,-2.652
GPSUSDT,STOP_LOSS,0,341.79,1.52,-9.0639,-2.652
HMSTRUSDT,EARLY_EXIT,0,1735.15,1.4,-18.7558,-1.081
IOSTUSDT,TRAILING,0,1721.24,3.38,19.9212,1.157
ZECUSDT,TRAILING,0,1731.2,3.73,28.6802,1.657
HEIUSDT,STOP_LOSS,0,1322.46,0.4,-35.0699,-2.652
LUNCUSDT,STOP_LOSS,0,1728.01,0.32,-45.7598,-2.648
LUNAUSDT,STOP_LOSS,0,1705.13,2.03,-45.1539,-2.648
LUNAUSDT,TRAILING,0,1682.55,5.21,49.6479,2.951
GUNUSDT,TRAILING,0,1707.37,4.62,40.6199,2.379
GUNUSDT,TRAILING,0,1727.68,3.13,15.8982,0.92
AIXBTUSDT,STOP_LOSS,0,1729.12,0.0,-45.8542,-2.652
PUMPUSDT,STOP_LOSS,0,1729.12,0.16,-45.8542,-2.652
ACTUSDT,TRAILING,0,1689.78,3.68,24.6058,1.456
ASRUSDT,STOP_LOSS,0,1702.08,0.0,-45.0733,-2.648
ANIMEUSDT,STOP_LOSS,0,1638.62,2.22,-43.3926,-2.648
TSTUSDT,STOP_LOSS,0,1108.96,0.93,-29.3667,-2.648
ACTUSDT,TRAILING,0,1643.17,3.37,18.9357,1.152
ZRXUSDT,TRAILING,0,1652.63,3.04,13.6779,0.828
FLOWUSDT,STOP_LOSS,0,1214.16,2.35,-32.1981,-2.652
