symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
STEEMUSDT,TRAILING,0,1218.74,3.57,16.4393,1.349
STEEMUSDT,TRAILING,0,2508.22,5.66,85.2462,3.399
ARKUSDT,TRAILING,0,2550.84,4.02,45.7258,1.793
PROMUSDT,STOP_LOSS,0,2573.71,1.95,-106.7316,-4.147
BELUSDT,STOP_LOSS,0,2520.34,1.88,-104.5185,-4.147
SKLUSDT,TRAILING,0,2468.08,3.21,24.555,0.995
JASMYUSDT,TRAILING,0,2480.36,3.42,29.892,1.205
QTUMUSDT,TRAILING,0,2495.3,5.59,83.0732,3.329
BELUSDT,TRAILING,0,2536.84,3.81,40.1902,1.584
BELUSDT,TRAILING,0,2556.94,3.17,24.4906,0.958
ARKUSDT,TRAILING,0,2569.18,3.17,24.6282,0.959
GLMUSDT,STOP_LOSS,0,823.99,0.66,-34.171,-4.147
AUCTIONUSDT,TRAILING,0,2564.41,3.36,29.3795,1.146
AUCTIONUSDT,TRAILING,0,2579.1,4.69,63.0786,2.446
REDUSDT,TRAILING,0,2610.64,7.8,143.25,5.487
API3USDT,STOP_LOSS,0,2532.94,2.01,-105.0409,-4.147
ARKUSDT,TRAILING,0,2629.74,3.9,43.9129,1.67
CVCUSDT,STOP_LOSS,0,2651.7,0.95,-109.966,-4.147
MBLUSDT,STOP_LOSS,0,2596.72,0.31,-107.6858,-4.147
GASUSDT,STOP_LOSS,0,1172.57,2.42,-48.6265,-4.147
MAGICUSDT,STOP_LOSS,0,2518.56,0.46,-104.4447,-4.147
CVXUSDT,TRAILING,0,2466.34,4.96,66.9209,2.713
SYNUSDT,TRAILING,0,1381.1,3.05,11.6172,0.841
JSTUSDT,STOP_LOSS,0,2505.61,0.17,-103.9075,-4.147
CETUSUSDT,STOP_LOSS,0,2444.45,1.16,-101.3714,-4.147
VIRTUALUSDT,TRAILING,0,2444.45,3.07,20.8977,0.855
VIRTUALUSDT,TRAILING,0,2404.37,4.46,53.2863,2.216
BARUSDT,TRAILING,0,2404.37,3.85,39.0264,1.623
HIGHUSDT,TRAILING,0,2459.57,3.02,19.9426,0.811
BONKUSDT,TRAILING,0,1640.19,3.54,21.5797,1.316
ALPINEUSDT,TRAILING,0,1640.19,5.76,57.2469,3.49
1000CATUSDT,TRAILING,0,2123.74,3.24,21.8494,1.029
IOUSDT,TRAILING,0,1640.19,3.69,24.0292,1.465
METISUSDT,STOP_LOSS,0,1972.4,1.93,-81.7954,-4.147
PEOPLEUSDT,TRAILING,0,2491.0,3.13,22.775,0.914
BOMEUSDT,SMART_TP_TRAIL,0,2493.0,16.14,311.4519,12.493
FLOKIUSDT,TRAILING,0,2493.0,3.07,21.3575,0.857
BABYUSDT,STOP_LOSS,0,2668.79,0.77,-110.6748,-4.147
STXUSDT,TRAILING,0,2613.45,3.95,44.8356,1.716
STXUSDT,STOP_LOSS,0,2635.87,0.0,-109.3096,-4.147
LISTAUSDT,TRAILING,0,2581.22,3.67,37.213,1.442
WLDUSDT,TRAILING,0,2599.82,3.17,24.8588,0.956
FETUSDT,STOP_LOSS,0,2612.25,0.22,-108.3301,-4.147
COOKIEUSDT,STOP_LOSS,0,2558.09,0.03,-106.0839,-4.147
WCTUSDT,STOP_LOSS,0,2505.05,1.77,-103.8842,-4.147
ICXUSDT,TRAILING,0,2453.1,3.65,34.9197,1.423
RPLUSDT,STOP_LOSS,0,2470.56,1.84,-102.4543,-4.147
MAGICUSDT,TRAILING,0,2419.34,3.35,27.5024,1.137
BANANAS31USDT,TRAILING,0,2433.09,4.09,45.2144,1.858
PENGUUSDT,TRAILING,0,2455.69,3.42,29.5545,1.204
BONKUSDT,STOP_LOSS,0,2470.47,1.12,-102.4505,-4.147
PENGUUSDT,TRAILING,0,2399.29,3.1,21.3857,0.891
BONKUSDT,TRAILING,0,2419.25,3.13,22.1927,0.917
HAEDALUSDT,TRAILING,0,2441.04,3.35,27.5881,1.13
TURBOUSDT,TRAILING,0,2293.25,3.24,23.4921,1.024
SUSHIUSDT,TRAILING,0,2466.58,10.55,201.9392,8.187
ACXUSDT,TRAILING,0,2567.55,4.13,48.7019,1.897
CFXUSDT,TRAILING,0,2591.9,3.78,40.2381,1.552
PENGUUSDT,TRAILING,0,2612.02,3.23,26.6265,1.019
ARDRUSDT,STOP_LOSS,0,2625.33,1.92,-108.8724,-4.147
SOPHUSDT,STOP_LOSS,0,2570.89,0.93,-106.6149,-4.147
HYPERUSDT,TRAILING,0,2517.59,10.34,200.7518,7.974
JUVUSDT,TRAILING,0,2617.96,3.85,42.4444,1.621
HOMEUSDT,TRAILING,0,2639.18,3.89,43.7664,1.658
1000CATUSDT,STOP_LOSS,0,2661.07,1.96,-110.3544,-4.147
TUTUSDT,TIME_24H,0,2605.89,0.31,-44.4553,-1.706
ILVUSDT,STOP_LOSS,0,2583.66,0.0,-107.1445,-4.147
PYRUSDT,TRAILING,0,2530.09,3.37,29.0333,1.148
OGUSDT,TRAILING,0,2544.61,3.18,24.5999,0.967
LDOUSDT,STOP_LOSS,0,2556.91,2.86,-106.0349,-4.147
CYBERUSDT,TRAILING,0,586.25,5.4,18.4064,3.14
ASRUSDT,TRAILING,0,1623.64,3.36,18.5459,1.142
BIOUSDT,TRAILING,0,2512.91,4.33,52.5104,2.09
API3USDT,STOP_LOSS,0,2512.91,1.23,-104.2102,-4.147
PYTHUSDT,STOP_LOSS,0,2496.51,0.55,-103.5305,-4.147
WLDUSDT,STOP_LOSS,0,2444.75,0.78,-101.3838,-4.147
KMNOUSDT,STOP_LOSS,0,2394.06,0.38,-99.2816,-4.147
FTTUSDT,STOP_LOSS,0,2344.42,0.16,-97.223,-4.147
TWTUSDT,TRAILING,0,2295.81,3.58,31.1548,1.357
TUTUSDT,TRAILING,0,2311.38,3.7,34.1192,1.476
QIUSDT,TRAILING,0,1096.2,4.09,20.3979,1.861
ALPINEUSDT,TRAILING,0,2338.64,10.61,192.7523,8.242
1000SATSUSDT,STOP_LOSS,0,2435.02,0.26,-100.9802,-4.147
PIVXUSDT,TRAILING,0,2384.53,6.21,93.7573,3.932
BELUSDT,STOP_LOSS,0,2431.41,0.0,-100.8304,-4.147
SHELLUSDT,TRAILING,0,2380.99,6.1,91.0653,3.825
DASHUSDT,TRAILING,0,2426.52,4.24,48.7143,2.008
SCRTUSDT,TRAILING,0,2450.88,4.56,56.8365,2.319
VELODROMEUSDT,TRAILING,0,2334.18,4.88,61.3517,2.628
GLMUSDT,TRAILING,0,2509.97,3.19,24.5069,0.976
TNSRUSDT,STOP_LOSS,0,194.56,0.55,-8.0685,-4.147
MBLUSDT,STOP_LOSS,0,2518.19,0.19,-104.4295,-4.147
LSKUSDT,STOP_LOSS,0,2465.98,1.08,-102.2642,-4.147
LUNAUSDT,TRAILING,0,821.31,4.03,14.7999,1.802
LUNCUSDT,TRAILING,0,2422.25,6.02,90.6594,3.743
LUNAUSDT,STOP_LOSS,0,2467.58,0.21,-102.3304,-4.147
ANIMEUSDT,TRAILING,0,677.74,3.25,7.016,1.035
ACTUSDT,TRAILING,0,1355.01,5.06,38.0232,2.806
ACTUSDT,TRAILING,0,2044.87,4.05,37.2471,1.821
DCRUSDT,TRAILING,0,2457.55,3.9,41.1278,1.674
