symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
STEEMUSDT,ATR_TRAIL,0,1218.74,24.83,83.9504,6.888
STEEMUSDT,ATR_TRAIL,0,2541.98,9.14,-306.7687,-12.068
ARKUSDT,ATR_STOP,0,2388.59,5.94,-255.8313,-10.711
PROMUSDT,ATR_TRAIL,0,2260.68,13.7,-183.0548,-8.097
BELUSDT,ATR_TRAIL,0,2169.15,12.46,-5.9706,-0.275
SKLUSDT,ATR_TRAIL,0,2166.16,18.87,-39.4999,-1.823
JASMYUSDT,ATR_STOP,0,2146.41,3.42,-178.3677,-8.31
QTUMUSDT,ATR_STOP,0,2057.23,7.94,-271.4804,-13.196
BELUSDT,ATR_STOP,0,2040.26,3.81,-164.4268,-8.059
ARKUSDT,ATR_TRAIL,0,1839.28,28.25,120.6974,6.562
GLMUSDT,ATR_DEAD,0,823.99,0.66,-9.3223,-1.131
AUCTIONUSDT,ATR_TRAIL,0,1894.96,43.68,554.9117,29.284
REDUSDT,ATR_TRAIL,0,2154.5,9.21,-223.3189,-10.365
AUCTIONUSDT,ATR_TRAIL,0,2172.42,37.83,465.4159,21.424
API3USDT,ATR_STOP,0,2293.47,2.01,-236.6718,-10.319
ARKUSDT,ATR_TRAIL,0,2175.13,41.62,538.2375,24.745
MBLUSDT,ATR_STOP,0,2424.09,0.31,-203.0678,-8.377
MAGICUSDT,ATR_STOP,0,2221.79,0.46,-316.3956,-14.241
CVXUSDT,ATR_TRAIL,0,1906.58,16.89,69.1939,3.629
JSTUSDT,ATR_STOP,0,1975.51,0.17,-162.0754,-8.204
CVCUSDT,ATR_TRAIL,0,2444.25,17.12,64.0283,2.62
VIRTUALUSDT,ATR_TRAIL,0,907.02,23.06,58.7949,6.482
BARUSDT,ATR_TRAIL,0,907.02,16.61,30.604,3.374
BONKUSDT,ATR_TRAIL,0,732.18,11.35,-11.1795,-1.527
IOUSDT,ATR_STOP,0,732.18,3.69,-60.8362,-8.309
HIGHUSDT,ATR_TRAIL,0,2214.79,13.46,-29.7896,-1.345
PEOPLEUSDT,ATR_TRAIL,0,2163.61,54.56,823.4395,38.059
BOMEUSDT,ATR_TRAIL,0,706.8,27.05,68.4194,9.68
BABYUSDT,ATR_STOP,0,2574.8,0.77,-216.8472,-8.422
FLOKIUSDT,ATR_STOP,0,706.8,4.88,-56.6616,-8.017
ALPINEUSDT,ATR_TRAIL,0,732.18,14.97,-41.5898,-5.68
LISTAUSDT,ATR_STOP,0,2432.04,3.67,-253.8378,-10.437
WLDUSDT,ATR_STOP,0,2179.16,3.17,-196.7373,-9.028
STXUSDT,ATR_TRAIL,0,2452.27,15.56,-36.6891,-1.496
COOKIEUSDT,ATR_STOP,0,2208.64,0.03,-227.3946,-10.296
WCTUSDT,ATR_TRAIL,0,2094.94,31.0,351.3381,16.771
ICXUSDT,ATR_TRAIL,0,2270.61,27.32,321.533,14.161
RPLUSDT,ATR_STOP,0,2431.37,1.84,-196.4096,-8.078
MAGICUSDT,ATR_STOP,0,2333.17,3.74,-255.9981,-10.972
PENGUUSDT,ATR_TRAIL,0,2186.98,14.1,-15.9883,-0.731
BANANAS31USDT,ATR_TRAIL,0,2205.17,149.51,2229.3691,101.097
BONKUSDT,ATR_STOP,0,2171.06,1.12,-176.346,-8.123
PENGUUSDT,ATR_TRAIL,0,3197.1,17.48,24.3982,0.763
BONKUSDT,ATR_TRAIL,0,3223.69,45.75,1013.1304,31.428
SUSHIUSDT,ATR_TRAIL,0,3741.59,15.25,-14.5068,-0.388
CFXUSDT,ATR_STOP,0,1410.3,3.78,-173.2952,-12.288
ACXUSDT,ATR_TRAIL,0,3734.34,9.47,-183.913,-4.925
TURBOUSDT,ATR_STOP,0,2293.25,4.44,-205.7927,-8.974
ARDRUSDT,ATR_STOP,0,3453.7,1.92,-437.1295,-12.657
SOPHUSDT,ATR_TRAIL,0,3235.13,9.59,-260.5718,-8.054
HYPERUSDT,ATR_TRAIL,0,3104.85,36.53,449.2887,14.471
JUVUSDT,ATR_STOP,0,3329.49,3.85,-302.1522,-9.075
1000CATUSDT,ATR_STOP,0,3152.2,1.96,-379.7427,-12.047
TUTUSDT,ATR_DEAD,0,2773.88,0.64,-141.3654,-5.096
HOMEUSDT,ATR_TRAIL,0,3178.42,8.85,-212.1502,-6.675
ILVUSDT,ATR_TRAIL,0,2811.79,21.63,45.2468,1.609
PYRUSDT,ATR_TRAIL,0,2788.6,13.29,-40.8524,-1.465
OGUSDT,ATR_TRAIL,0,2813.98,40.89,783.619,27.847
LDOUSDT,ATR_TRAIL,0,3205.79,5.99,-214.0897,-6.678
CYBERUSDT,ATR_TRAIL,0,586.25,16.94,20.3643,3.474
ASRUSDT,ATR_STOP,0,1623.64,3.36,-179.8424,-11.076
BIOUSDT,ATR_TRAIL,0,3007.69,14.62,-93.5448,-3.11
API3USDT,ATR_TRAIL,0,3007.69,23.83,-127.3685,-4.235
PYTHUSDT,ATR_STOP,0,2908.55,0.55,-404.4076,-13.904
WLDUSDT,ATR_STOP,0,2706.35,4.56,-281.2348,-10.392
KMNOUSDT,ATR_STOP,0,2565.73,3.26,-222.001,-8.653
FTTUSDT,ATR_STOP,0,2454.73,0.16,-268.0309,-10.919
TWTUSDT,ATR_STOP,0,2320.72,3.58,-232.1551,-10.004
QIUSDT,ATR_STOP,0,1096.2,4.09,-138.3645,-12.622
TUTUSDT,ATR_TRAIL,0,2204.64,41.37,152.6128,6.922
ALPINEUSDT,ATR_TRAIL,0,2211.76,25.28,-26.007,-1.176
1000SATSUSDT,ATR_DEAD,0,2193.52,0.26,-363.5152,-16.572
PIVXUSDT,ATR_STOP,0,2017.0,6.21,-515.8509,-25.575
BELUSDT,ATR_DEAD,0,1759.08,0.0,-330.9522,-18.814
SHELLUSDT,ATR_TRAIL,0,1593.6,8.51,-112.6102,-7.066
DASHUSDT,ATR_TRAIL,0,1537.3,32.08,166.3562,10.821
SCRTUSDT,ATR_TRAIL,0,1620.47,34.83,221.9792,13.698
VELODROMEUSDT,ATR_TRAIL,0,1731.46,10.57,-122.5194,-7.076
GLMUSDT,ATR_TRAIL,0,1670.2,9.08,-164.7862,-9.866
TNSRUSDT,ATR_STOP,0,194.56,19.63,-63.6531,-32.716
LSKUSDT,ATR_STOP,0,1511.37,2.87,-224.9706,-14.885
MBLUSDT,ATR_TRAIL,0,1587.74,22.38,-171.3407,-10.792
LUNAUSDT,ATR_TRAIL,0,821.31,19.24,-39.9296,-4.862
LUNCUSDT,ATR_TRAIL,0,1337.86,13.93,-166.4921,-12.445
LUNAUSDT,ATR_DEAD,0,1254.62,5.82,-152.4012,-12.147
ACTUSDT,ATR_TRAIL,0,1178.16,16.96,-42.1931,-3.581
ANIMEUSDT,ATR_TRAIL,0,677.74,14.46,-25.6702,-3.788
DCRUSDT,ATR_TRAIL,0,1144.48,16.03,1.779,0.155
