symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
FTTUSDT,STOP_LOSS,0,2500.0,2.29,-66.2031,-2.648
CVCUSDT,STOP_LOSS,0,871.11,0.05,-23.0681,-2.648
ENSUSDT,TRAILING,0,2466.9,9.16,168.3561,6.825
RSRUSDT,TRAILING,0,871.11,3.34,9.7449,1.119
ONEUSDT,TRAILING,0,704.33,3.06,6.0018,0.852
AGLDUSDT,STOP_LOSS,0,839.66,1.13,-22.2351,-2.648
PEPEUSDT,TRAILING,0,1172.45,5.3,35.6347,3.039
BTCUSDT,EARLY_EXIT,0,1172.45,1.89,17.9193,1.528
LPTUSDT,TRAILING,0,718.72,5.02,19.8677,2.764
AAVEUSDT,TRAILING,0,1172.45,4.61,27.7348,2.366
ONEUSDT,TRAILING,0,2023.17,3.94,34.5655,1.708
WBTCUSDT,EARLY_EXIT,0,2604.16,1.36,10.2752,0.395
LPTUSDT,TRAILING,0,2582.68,3.25,26.5943,1.03
VANRYUSDT,STOP_LOSS,0,934.33,1.37,-24.7423,-2.648
API3USDT,EARLY_EXIT,0,745.74,0.47,-3.7549,-0.504
LUNAUSDT,EARLY_EXIT,0,934.33,1.9,-5.1195,-0.548
ONEUSDT,STOP_LOSS,0,1304.58,0.0,-34.5468,-2.648
SANDUSDT,TRAILING,0,1304.58,4.5,29.5096,2.262
DIAUSDT,TRAILING,0,2204.68,6.15,85.3129,3.87
PYTHUSDT,EARLY_EXIT,0,745.17,0.9,4.9794,0.668
FIDAUSDT,EARLY_EXIT,0,745.17,0.22,-5.1896,-0.696
YFIUSDT,EARLY_EXIT,0,745.17,1.09,0.3842,0.052
AXSUSDT,EARLY_EXIT,0,745.17,1.26,6.3578,0.853
ETCUSDT,EARLY_EXIT,0,2289.09,0.07,-40.4046,-1.765
JOEUSDT,STOP_LOSS,0,800.62,0.12,-21.2015,-2.648
HIGHUSDT,STOP_LOSS,0,805.9,0.06,-21.3413,-2.648
ZILUSDT,EARLY_EXIT,0,805.9,0.13,-3.2861,-0.408
POLYXUSDT,EARLY_EXIT,0,575.28,0.96,2.2988,0.4
ARBUSDT,TRAILING,0,1271.22,6.6,54.8074,4.311
GASUSDT,EARLY_EXIT,0,1271.22,1.24,-4.9027,-0.386
SPELLUSDT,EARLY_EXIT,0,1271.22,2.17,0.9011,0.071
BTCUSDT,EARLY_EXIT,0,901.72,1.15,4.9454,0.548
EGLDUSDT,EARLY_EXIT,0,901.72,1.59,4.8483,0.538
NEARUSDT,EARLY_EXIT,0,901.72,2.33,7.7204,0.856
ENAUSDT,STOP_LOSS,0,1269.17,1.1,-33.6091,-2.648
MOVEUSDT,EARLY_EXIT,0,1269.17,1.7,15.1774,1.196
HOTUSDT,EARLY_EXIT,0,1361.36,1.58,1.113,0.082
RSRUSDT,EARLY_EXIT,0,1361.36,0.29,-19.2354,-1.413
QTUMUSDT,TRAILING,0,1933.08,3.05,16.2692,0.842
