symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
FTTUSDT,TRAILING,0,2500.0,7.37,126.8219,5.073
RSRUSDT,TRAILING,0,875.45,6.15,33.907,3.873
ENSUSDT,TRAILING,0,2479.38,9.16,169.2081,6.825
HBARUSDT,TRAILING,0,875.45,4.83,22.589,2.58
USUALUSDT,TRAILING,0,875.45,4.26,17.6916,2.021
CVCUSDT,STOP_LOSS,0,512.03,0.05,-21.234,-4.147
ONEUSDT,TRAILING,0,395.89,3.06,3.3735,0.852
PEPEUSDT,TRAILING,0,1250.18,5.3,37.9972,3.039
AGLDUSDT,STOP_LOSS,0,852.25,1.13,-35.3426,-4.147
LPTUSDT,TRAILING,0,729.49,5.02,20.1655,2.764
AAVEUSDT,TRAILING,0,1250.18,4.61,29.5736,2.366
ONEUSDT,TRAILING,0,2102.66,3.94,35.9237,1.708
LPTUSDT,TRAILING,0,1447.25,3.25,14.9026,1.03
BTCUSDT,TIME_24H,0,1250.18,2.98,23.7916,1.903
SANDUSDT,TRAILING,0,731.05,4.5,16.5364,2.262
WBTCUSDT,TIME_24H,0,2719.87,1.36,30.205,1.111
ONEUSDT,TRAILING,0,731.05,13.71,82.47,11.281
DASHUSDT,TRAILING,0,922.29,6.04,34.7367,3.766
VANRYUSDT,TRAILING,0,1099.51,6.89,50.5735,4.6
CVXUSDT,TRAILING,0,849.83,3.29,9.103,1.071
TIAUSDT,TRAILING,0,1205.68,3.5,15.3784,1.276
ARBUSDT,TRAILING,0,1221.26,3.14,11.3044,0.926
AXSUSDT,TIME_24H,0,1205.68,0.94,-15.2099,-1.262
LUNAUSDT,TIME_24H,0,1205.68,0.93,-19.1214,-1.586
CELOUSDT,TIME_24H,0,1205.68,1.73,4.6178,0.383
ETCUSDT,TIME_24H,0,855.3,1.41,2.3232,0.272
GASUSDT,TIME_24H,0,1232.52,2.42,10.3719,0.842
YFIUSDT,TIME_24H,0,1196.4,2.02,4.2877,0.358
HOTUSDT,TIME_24H,0,1196.4,1.58,-6.4158,-0.536
RSRUSDT,TIME_24H,0,1196.4,0.44,-34.6028,-2.892
ZILUSDT,TIME_24H,0,855.57,3.09,19.1695,2.241
POLYXUSDT,TRAILING,0,1243.14,3.21,12.4048,0.998
COTIUSDT,TRAILING,0,740.38,3.2,7.2878,0.984
EGLDUSDT,TRAILING,0,1407.0,3.53,18.4211,1.309
IOSTUSDT,TRAILING,0,1407.0,5.55,46.306,3.291
SCRTUSDT,STOP_LOSS,0,1255.77,1.22,-52.0768,-4.147
ARDRUSDT,TIME_24H,0,872.65,2.43,-5.1838,-0.594
QTUMUSDT,STOP_LOSS,0,1057.58,0.25,-43.858,-4.147
POLYXUSDT,STOP_LOSS,0,1202.12,1.6,-49.8518,-4.147
BTCUSDT,STOP_LOSS,0,1285.12,0.89,-53.294,-4.147
WBTCUSDT,STOP_LOSS,0,1285.12,0.92,-53.294,-4.147
IOSTUSDT,STOP_LOSS,0,1833.75,1.19,-76.0456,-4.147
KSMUSDT,STOP_LOSS,0,1833.75,1.41,-76.0456,-4.147
