symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
ALCXUSDT,TRAILING,0,2472.37,5.01,68.2653,2.761
ENSUSDT,STOP_LOSS,0,2534.13,2.62,-67.107,-2.648
RADUSDT,STOP_LOSS,0,2500.58,1.11,-66.2185,-2.648
RLCUSDT,TRAILING,0,2467.47,4.27,50.2789,2.038
NMRUSDT,STOP_LOSS,0,2492.61,1.26,-66.0074,-2.648
CTSIUSDT,TRAILING,0,2459.61,5.53,80.3298,3.266
DUSKUSDT,TRAILING,0,2499.77,4.02,44.7621,1.791
BEAMXUSDT,TRAILING,0,2522.15,4.08,46.5414,1.845
AIUSDT,STOP_LOSS,0,2545.42,0.1,-67.406,-2.648
SEIUSDT,TRAILING,0,2511.72,4.55,57.8859,2.305
LPTUSDT,STOP_LOSS,0,2540.66,0.72,-67.2799,-2.648
NFPUSDT,STOP_LOSS,0,2507.02,1.08,-66.3891,-2.648
CKBUSDT,TRAILING,0,2473.83,3.25,25.6419,1.037
ALTUSDT,TRAILING,0,2486.65,5.92,90.6363,3.645
COTIUSDT,STOP_LOSS,0,2531.97,1.0,-67.0496,-2.648
GRTUSDT,EARLY_EXIT,0,2498.44,2.45,-22.6741,-0.908
FETUSDT,TRAILING,0,2487.11,3.4,29.3632,1.181
JASMYUSDT,EARLY_EXIT,0,2501.79,2.06,-24.4312,-0.977
ARKMUSDT,STOP_LOSS,0,2489.57,1.47,-65.927,-2.648
DEXEUSDT,STOP_LOSS,0,987.57,0.24,-26.152,-2.648
TLMUSDT,TRAILING,0,2434.37,6.79,109.5517,4.5
FLOKIUSDT,STOP_LOSS,0,2434.37,2.16,-64.4651,-2.648
XECUSDT,STOP_LOSS,0,2466.07,0.6,-65.3047,-2.648
IQUSDT,STOP_LOSS,0,2433.42,0.92,-64.4401,-2.648
NEARUSDT,TRAILING,0,2401.2,6.47,100.6311,4.191
PYTHUSDT,EARLY_EXIT,0,2451.52,1.93,-23.2834,-0.95
ARPAUSDT,STOP_LOSS,0,2439.88,0.7,-64.611,-2.648
FLOKIUSDT,TRAILING,0,2407.57,4.27,48.8355,2.028
MTLUSDT,STOP_LOSS,0,2422.87,1.46,-64.1606,-2.648
ROSEUSDT,STOP_LOSS,0,2422.87,2.65,-64.1606,-2.648
CKBUSDT,STOP_LOSS,0,2367.83,0.46,-62.703,-2.648
RLCUSDT,TRAILING,0,1704.29,3.19,16.6144,0.975
PHAUSDT,STOP_LOSS,0,2344.78,0.35,-62.0928,-2.648
DOGEUSDT,STOP_LOSS,0,2313.74,1.3,-61.2707,-2.648
TLMUSDT,STOP_LOSS,0,2294.66,0.64,-60.7653,-2.648
PHAUSDT,TRAILING,0,1335.52,7.2,65.4796,4.903
CVCUSDT,STOP_LOSS,0,2285.46,0.0,-60.5218,-2.648
POLYXUSDT,TRAILING,0,2246.74,3.67,32.537,1.448
ANKRUSDT,STOP_LOSS,0,2246.74,0.49,-59.4965,-2.648
PENDLEUSDT,TRAILING,0,2241.72,3.1,19.9076,0.888
POLYXUSDT,STOP_LOSS,0,2251.67,0.08,-59.6271,-2.648
BELUSDT,TRAILING,0,2221.86,3.6,30.6974,1.382
ASRUSDT,STOP_LOSS,0,2237.21,2.86,-59.244,-2.648
JSTUSDT,STOP_LOSS,0,2207.59,0.27,-58.4596,-2.648
BONKUSDT,STOP_LOSS,0,2178.36,0.98,-57.6856,-2.648
PROMUSDT,STOP_LOSS,0,2149.51,0.95,-56.9218,-2.648
PEOPLEUSDT,STOP_LOSS,0,2121.05,2.12,-56.1681,-2.648
PEOPLEUSDT,STOP_LOSS,0,2092.97,2.71,-55.4244,-2.648
JASMYUSDT,STOP_LOSS,0,2065.26,1.19,-54.6906,-2.648
PEOPLEUSDT,STOP_LOSS,0,2037.91,0.02,-53.9664,-2.648
AUDIOUSDT,TRAILING,0,2010.93,5.13,57.8879,2.879
DIAUSDT,TRAILING,0,2039.87,5.08,57.5531,2.821
FTTUSDT,STOP_LOSS,0,2068.65,1.47,-54.7804,-2.648
OGUSDT,STOP_LOSS,0,2041.26,0.04,-54.055,-2.648
STORJUSDT,STOP_LOSS,0,2014.23,0.76,-53.3393,-2.648
ALPINEUSDT,TRAILING,0,1980.11,4.08,36.6264,1.85
LAZIOUSDT,TRAILING,0,1980.11,5.11,56.6189,2.859
TNSRUSDT,STOP_LOSS,0,2034.18,0.0,-53.8677,-2.648
ENAUSDT,TRAILING,0,1999.72,5.24,59.5553,2.978
ORDIUSDT,TRAILING,0,1999.72,3.16,18.9681,0.949
PEPEUSDT,STOP_LOSS,0,2046.51,0.04,-54.1942,-2.648
HBARUSDT,TRAILING,0,2019.41,3.54,26.6301,1.319
FTTUSDT,TRAILING,0,2032.73,4.18,39.461,1.941
XRPUSDT,STOP_LOSS,0,2052.46,0.38,-54.3517,-2.648
FLOKIUSDT,STOP_LOSS,0,2025.28,0.13,-53.632,-2.648
FTTUSDT,STOP_LOSS,0,1998.47,0.94,-52.9219,-2.648
XRPUSDT,STOP_LOSS,0,1972.01,0.04,-52.2212,-2.648
WBTCUSDT,EARLY_EXIT,0,1945.9,0.84,5.7103,0.293
XTZUSDT,STOP_LOSS,0,1948.75,2.18,-51.6054,-2.648
XNOUSDT,TRAILING,0,1277.16,4.5,28.8876,2.262
MANAUSDT,STOP_LOSS,0,652.01,2.29,-17.2662,-2.648
SANDUSDT,TRAILING,0,652.01,7.08,31.1735,4.781
CELRUSDT,TRAILING,0,1277.16,5.53,41.7758,3.271
SKLUSDT,TRAILING,0,1277.16,3.72,19.047,1.491
PONDUSDT,STOP_LOSS,0,684.1,1.11,-18.1158,-2.648
MBLUSDT,STOP_LOSS,0,1958.33,1.93,-51.859,-2.648
LDOUSDT,TRAILING,0,1958.33,9.4,138.2434,7.059
ENSUSDT,TRAILING,0,2008.89,11.07,174.5515,8.689
ENSUSDT,TRAILING,0,2096.17,5.45,66.7346,3.184
SCRTUSDT,STOP_LOSS,0,758.52,1.4,-20.0865,-2.648
VETUSDT,STOP_LOSS,0,2111.54,0.0,-55.9163,-2.648
COMPUSDT,TRAILING,0,2111.54,7.63,112.3079,5.319
LPTUSDT,STOP_LOSS,0,2147.69,2.94,-56.8734,-2.648
TURBOUSDT,TRAILING,0,2119.25,3.05,17.8669,0.843
1MBABYDOGEUSDT,STOP_LOSS,0,2128.18,1.02,-56.357,-2.648
XAIUSDT,STOP_LOSS,0,836.85,0.67,-22.1609,-2.648
PIXELUSDT,STOP_LOSS,0,836.85,0.82,-22.1609,-2.648
ALTUSDT,STOP_LOSS,0,836.85,0.75,-22.1609,-2.648
FLOWUSDT,STOP_LOSS,0,836.85,0.88,-22.1609,-2.648
DASHUSDT,STOP_LOSS,0,836.85,1.49,-22.1609,-2.648
MANTAUSDT,STOP_LOSS,0,814.77,0.77,-21.5762,-2.648
KSMUSDT,TRAILING,0,814.77,4.18,15.8422,1.944
CFXUSDT,EARLY_EXIT,0,814.77,2.02,9.8577,1.21
PORTALUSDT,EARLY_EXIT,0,814.77,2.34,10.8884,1.336
APEUSDT,EARLY_EXIT,0,814.77,2.15,7.8304,0.961
RONINUSDT,TRAILING,0,2056.02,7.04,97.5021,4.742
COMPUSDT,STOP_LOSS,0,2104.78,0.09,-55.7371,-2.648
SUSHIUSDT,STOP_LOSS,0,2076.91,0.13,-54.9991,-2.648
SCRTUSDT,STOP_LOSS,0,2049.41,0.27,-54.2709,-2.648
