symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
RAYUSDT,TRAILING,0,2500.0,3.16,23.7397,0.95
NEIROUSDT,TRAILING,0,2511.87,6.94,116.7677,4.649
HMSTRUSDT,STOP_LOSS,0,1707.08,1.63,-70.7925,-4.147
DOGSUSDT,STOP_LOSS,0,1707.08,0.5,-70.7925,-4.147
ENAUSDT,STOP_LOSS,0,1707.08,0.51,-70.7925,-4.147
BOMEUSDT,STOP_LOSS,0,2454.82,0.03,-101.8016,-4.147
WIFUSDT,STOP_LOSS,0,2454.82,1.0,-101.8016,-4.147
TLMUSDT,STOP_LOSS,0,2362.26,0.67,-97.9631,-4.147
DOGEUSDT,TRAILING,0,2313.28,4.94,62.1684,2.687
TNSRUSDT,STOP_LOSS,0,2335.57,1.25,-96.8563,-4.147
IOUSDT,STOP_LOSS,0,2335.57,2.07,-96.8563,-4.147
DOGEUSDT,STOP_LOSS,0,2247.51,0.85,-93.2042,-4.147
FLOKIUSDT,TRAILING,0,1461.77,3.49,18.49,1.265
PEPEUSDT,TRAILING,0,1461.77,3.26,15.218,1.041
SHIBUSDT,STOP_LOSS,0,1461.77,2.13,-60.6196,-4.147
BONKUSDT,STOP_LOSS,0,2187.45,2.74,-90.7136,-4.147
AGLDUSDT,STOP_LOSS,0,2142.1,0.33,-88.8327,-4.147
PEPEUSDT,TRAILING,0,1393.21,3.36,15.9442,1.144
SUIUSDT,STOP_LOSS,0,1393.21,0.68,-57.7763,-4.147
FLOKIUSDT,TRAILING,0,1393.21,5.65,47.0996,3.381
PEPEUSDT,TRAILING,0,2100.31,4.53,48.0473,2.288
XVGUSDT,STOP_LOSS,0,2106.82,2.69,-87.3697,-4.147
XRPUSDT,TRAILING,0,2124.34,4.13,40.3666,1.9
ADAUSDT,TRAILING,0,1046.48,3.71,15.4873,1.48
FLOKIUSDT,TRAILING,0,1046.48,3.95,18.029,1.723
XLMUSDT,TRAILING,0,1046.48,4.94,28.1575,2.691
HBARUSDT,TRAILING,0,2116.81,3.54,27.9145,1.319
SPELLUSDT,TRAILING,0,1046.48,5.58,34.6716,3.313
XRPUSDT,TRAILING,0,2145.24,5.43,68.0247,3.171
XLMUSDT,TRAILING,0,2196.98,3.56,29.4877,1.342
AMPUSDT,SMART_TP_TRAIL,0,2203.43,17.42,302.7717,13.741
XRPUSDT,TRAILING,0,2203.43,4.34,46.3896,2.105
