symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
FTTUSDT,TRAILING,0,2500.0,2.29,15.0465,0.602
ENSUSDT,TRAILING,0,2507.52,3.27,39.3145,1.568
XVGUSDT,TRAILING,0,1243.42,3.72,24.9852,2.009
RSRUSDT,TRAILING,0,1243.42,2.8,13.7311,1.104
USUALUSDT,TRAILING,0,1907.97,2.53,16.0647,0.842
HBARUSDT,TRAILING,0,1907.97,2.12,8.2935,0.435
ONEUSDT,TRAILING,0,1394.46,2.92,17.0841,1.225
CVCUSDT,STOP_LOSS,0,1786.12,0.05,-74.0704,-4.147
AAVEUSDT,TRAILING,0,1162.12,2.06,4.3861,0.377
PEPEUSDT,TRAILING,0,1162.12,2.32,7.3851,0.635
LPTUSDT,TRAILING,0,717.22,2.07,2.816,0.393
AGLDUSDT,STOP_LOSS,0,837.91,1.13,-34.748,-4.147
BTCUSDT,TIME_24H,0,1162.12,2.98,22.1156,1.903
VANRYUSDT,TRAILING,0,1336.81,2.5,10.799,0.808
DASHUSDT,TRAILING,0,564.35,4.01,12.9724,2.299
WBTCUSDT,TIME_24H,0,2519.71,1.36,27.9821,1.111
SANDUSDT,TRAILING,0,619.67,3.38,10.4176,1.681
TIAUSDT,TRAILING,0,1118.71,3.5,20.054,1.793
AXSUSDT,TIME_24H,0,1118.71,0.94,-14.1129,-1.262
LUNAUSDT,TIME_24H,0,1118.71,0.93,-17.7422,-1.586
CELOUSDT,TIME_24H,0,1118.71,1.73,4.2848,0.383
YFIUSDT,TIME_24H,0,883.35,0.73,-14.5711,-1.65
ETCUSDT,TIME_24H,0,883.35,1.34,-8.4584,-0.958
HOTUSDT,TIME_24H,0,1664.93,1.58,-8.9283,-0.536
RSRUSDT,TIME_24H,0,1664.93,0.44,-48.1537,-2.892
LPTUSDT,TRAILING,0,774.5,2.72,7.9569,1.027
GASUSDT,TIME_24H,0,968.08,1.89,12.4883,1.29
PENGUUSDT,TRAILING,0,980.66,2.08,3.9099,0.399
ZILUSDT,TRAILING,0,1091.39,2.94,13.572,1.244
ZECUSDT,TRAILING,0,1091.39,3.94,24.3048,2.227
SCRTUSDT,STOP_LOSS,0,1045.14,1.22,-43.3421,-4.147
ARDRUSDT,TRAILING,0,780.56,2.43,5.7921,0.742
POLYXUSDT,TIME_24H,0,1091.39,1.56,-7.3061,-0.669
IOSTUSDT,STOP_LOSS,0,1045.14,0.49,-43.3421,-4.147
BTCUSDT,STOP_LOSS,0,1114.86,0.89,-46.2332,-4.147
WBTCUSDT,STOP_LOSS,0,1001.91,0.41,-41.5493,-4.147
KSMUSDT,STOP_LOSS,0,2461.6,1.41,-102.0825,-4.147
QTUMUSDT,STOP_LOSS,0,2434.32,1.29,-100.9512,-4.147
STEEMUSDT,TRAILING,0,1218.74,2.15,5.6925,0.467
PHAUSDT,TRAILING,0,724.07,3.77,14.9153,2.06
CELOUSDT,STOP_LOSS,0,2361.5,0.06,-97.9313,-4.147
POWRUSDT,TRAILING,0,2361.5,2.78,25.6715,1.087
CRVUSDT,TRAILING,0,2334.26,2.61,21.4579,0.919
TFUELUSDT,TRAILING,0,1557.46,2.15,7.3513,0.472
ICPUSDT,STOP_LOSS,0,1557.46,0.2,-64.5879,-4.147
BATUSDT,TRAILING,0,1557.46,2.72,15.949,1.024
STGUSDT,STOP_LOSS,0,2324.34,1.91,-96.3904,-4.147
SYNUSDT,TRAILING,0,339.71,2.35,2.2497,0.662
ARBUSDT,TRAILING,0,629.54,2.09,2.5426,0.404
AVAXUSDT,TRAILING,0,629.54,4.78,19.2319,3.055
MOVEUSDT,STOP_LOSS,0,2305.17,1.85,-95.5955,-4.147
XRPUSDT,TRAILING,0,629.54,2.39,4.4273,0.703
KAVAUSDT,STOP_LOSS,0,1622.25,0.14,-67.2748,-4.147
TFUELUSDT,TRAILING,0,880.26,2.68,8.744,0.993
ZILUSDT,TRAILING,0,880.26,2.76,9.3837,1.066
SANDUSDT,TRAILING,0,880.26,3.1,12.3324,1.401
ANKRUSDT,TRAILING,0,880.26,2.97,11.1851,1.271
BATUSDT,TRAILING,0,880.26,2.43,6.5234,0.741
HIVEUSDT,TRAILING,0,1483.1,2.65,14.1971,0.957
ARKUSDT,TRAILING,0,1483.1,2.41,10.6568,0.719
POLYXUSDT,TRAILING,0,1483.1,2.38,10.3504,0.698
DEXEUSDT,TRAILING,0,602.88,2.0,1.9561,0.324
AGLDUSDT,TRAILING,0,2156.04,3.13,30.8255,1.43
SANDUSDT,STOP_LOSS,0,1505.68,0.63,-62.4404,-4.147
FLOWUSDT,STOP_LOSS,0,1505.68,1.2,-62.4404,-4.147
WLDUSDT,STOP_LOSS,0,1505.68,0.64,-62.4404,-4.147
BTCUSDT,STOP_LOSS,0,2173.35,0.68,-90.129,-4.147
NEOUSDT,TRAILING,0,848.12,3.83,17.9658,2.118
ICXUSDT,TRAILING,0,848.12,2.48,6.701,0.79
KNCUSDT,TRAILING,0,848.12,3.21,12.81,1.51
ANKRUSDT,TRAILING,0,848.12,2.69,8.493,1.001
QTUMUSDT,TRAILING,0,848.12,3.17,12.4649,1.47
XRPUSDT,TRAILING,0,863.49,2.74,9.0443,1.047
STRAXUSDT,TRAILING,0,1102.58,4.91,35.143,3.187
IQUSDT,TRAILING,0,1000.11,2.54,8.4754,0.847
WBTCUSDT,TIME_24H,0,1102.58,1.15,-0.811,-0.074
TUSDT,TIME_24H,0,1102.58,1.17,-31.6567,-2.871
DOGEUSDT,STOP_LOSS,0,2144.5,0.61,-88.9323,-4.147
OSMOUSDT,TRAILING,0,812.64,2.41,5.8556,0.721
BCHUSDT,TRAILING,0,1708.85,3.92,37.8193,2.213
TWTUSDT,TRAILING,0,1708.85,3.12,24.3539,1.425
STEEMUSDT,STOP_LOSS,0,2144.33,0.0,-88.9256,-4.147
BCHUSDT,TRAILING,0,2112.69,3.26,33.0217,1.563
YFIUSDT,TRAILING,0,1649.8,2.73,17.0905,1.036
QNTUSDT,TRAILING,0,1649.8,2.69,16.463,0.998
HIVEUSDT,TRAILING,0,1185.1,3.52,21.5706,1.82
BCHUSDT,TRAILING,0,2145.62,4.77,65.3963,3.048
PUNDIXUSDT,TIME_24H,0,942.83,2.14,13.8787,1.472
HIVEUSDT,STOP_LOSS,0,934.37,0.0,-38.7484,-4.147
ARPAUSDT,STOP_LOSS,0,1277.1,0.81,-52.9615,-4.147
AGLDUSDT,STOP_LOSS,0,926.09,1.14,-38.4048,-4.147
MBLUSDT,STOP_LOSS,0,1206.59,1.79,-50.0374,-4.147
STGUSDT,STOP_LOSS,0,926.09,0.62,-38.4048,-4.147
BONKUSDT,SMART_TP_TRAIL,0,2079.29,6.82,71.9763,3.462
